name,latitude,longitude,average_cost_for_two,price_range,aggregate_rating,votes,cuisines,highlights,all_reviews_count,photo_count
King's Biryani,18.5637825000,73.9178007813,300,1,3.3,133,Biryani,"['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted']",25,11
Grilled,18.5638850000,73.9177510000,500,2,0,0,"North Indian, Chinese","['Lunch', 'Cash', 'Dinner', 'Delivery']",0,0
Polar Bear,18.5639540177,73.9150862396,300,1,4.3,1141,"Ice Cream, Desserts, Sandwich, Beverages","['Cash', 'Credit Card', 'Delivery', 'Debit Card', 'Takeaway Available', 'Air Conditioned', 'Indoor Seating', 'Pure Veg', 'Desserts and Bakes']",119,204
The Irani Cafe Restaurant,18.5640354156,73.9152526855,800,2,2.9,80,"Iranian, Mughlai","['Credit Card', 'Dinner', 'Takeaway Available', 'Cash', 'Debit Card', 'Lunch', 'Delivery', 'Table booking not available', 'Indoor Seating', 'Air Conditioned']",29,24
Dino and Duggy's,18.5639425758,73.9147422463,1300,3,3.9,1485,"North Indian, Chinese, Italian, Continental","['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Free Wifi', 'Air Conditioned', 'Indoor Seating', 'Table reservation required']",220,683
La Fiesta Kitchen & Bar,18.5637785747,73.9153752477,1300,3,3.7,88,"Mexican, North Indian, Asian","['Lunch', 'Delivery', 'Credit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Table booking recommended', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",73,131
House of Burger,18.5637283000,73.9154367000,350,1,0,11,"Burger, Sandwich, Fast Food","['Lunch', 'Cash', 'Breakfast', 'Dinner', 'Delivery']",0,0
Night Out,18.5637283000,73.9154367000,300,1,0,5,"Fast Food, Beverages","['Lunch', 'Cash', 'Breakfast', 'Dinner', 'Delivery']",0,0
Weirdo's Burger Cafe,18.5637283000,73.9154367000,400,1,3.4,135,Fast Food,"['Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Cash', 'Credit Card', 'Debit Card', 'Digital Payments Accepted']",14,4
Creamy World,18.5639765837,73.9143382385,200,1,3.6,23,"Desserts, Beverages","['Cash', 'Delivery', 'Takeaway Available', 'Pure Veg', 'Digital Payments Accepted', 'Indoor Seating', 'Desserts and Bakes']",6,6
Red Chille,18.5638060000,73.9157280000,500,2,0,1,"North Indian, Chinese","['Lunch', 'Standing Tables', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available']",1,0
Sahil Chinese Fast Food,18.5642286238,73.9142091572,300,1,0,10,Chinese,"['No Seating Available', 'Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Digital Payments Accepted']",3,0
Refuel Lounge & Bar,18.5632610000,73.9156510000,1600,3,3.6,9,"North Indian, Chinese, Continental, Italian, Desserts","['Lunch', 'Serves Alcohol', 'Cash', 'Debit Card', 'Dinner', 'Credit Card', 'DJ', 'Dance Floor', 'Nightlife', 'Wine', 'Indoor Seating', 'Lunch Menu', 'Live Sports Screening', 'Fullbar', 'Beer', 'Serves Cocktails', 'Resto Bar']",7,16
Delhi Ki Paratha Gali,18.5648590000,73.9151470000,200,1,3.7,729,North Indian,"['Lunch', 'Cash', 'Dinner', 'Delivery']",10,4
India Currys,18.5638870000,73.9177490000,500,2,0,3,"North Indian, South Indian, Maharashtrian, Gujarati, Kashmiri, Bengali, Rajasthani","['Lunch', 'Cash', 'Takeaway Available', 'No Alcohol Available', 'Dinner', 'Delivery', 'Indoor Seating']",0,1
Hungry Hippos,18.5639030000,73.9177590000,350,1,2.7,1384,"Chinese, North Indian","['No Seating Available', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card']",100,38
Egg Drop By Soy,18.5638690000,73.9177000000,200,1,0,1,Fast Food,"['Lunch', 'Cash', 'Dinner', 'Delivery']",0,0
The Burgwich Cafe,18.5638710000,73.9176960000,400,1,0,0,"Burger, Fast Food, Beverages","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery']",0,0
Barbeque Garage,18.5639010000,73.9177010000,400,1,3.4,1991,"North Indian, Chinese, BBQ","['Lunch', 'Takeaway Available', 'Debit Card', 'Dinner', 'Cash', 'Delivery', 'Credit Card', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area', 'Indoor Seating']",111,79
Fresh Cakes,18.5638390000,73.9176230000,400,1,4.5,116,"Bakery, Desserts","['Cash', 'Delivery', 'Desserts and Bakes']",42,32
Cookie Man,18.5623782027,73.9170834795,250,1,3.5,70,"Bakery, Desserts","['No Seating Available', 'Mall Parking', 'Takeaway Available', 'Delivery', 'Credit Card', 'Desserts and Bakes', 'Axis Bank - Dining Delights']",17,22
Papabubble,18.5623988619,73.9170737565,400,1,0,1,Desserts,"['Debit Card', 'Cash', 'Takeaway Available', 'Delivery', 'Credit Card', 'Indoor Seating', 'Desserts and Bakes', 'Digital Payments Accepted']",0,0
95 Pasta n Pizza Pure Veg,18.5624487619,73.9170905203,500,2,3.2,713,"Italian, Fast Food, Beverages","['Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Dinner', 'Mall Parking', 'Delivery', 'Debit Card', 'Air Conditioned', 'Sodexo', 'Pure Veg', 'Indoor Seating']",121,85
Hotel Black Moon,18.5610207271,73.9194760099,800,2,3.4,4,"Chinese, North Indian, Mughlai","['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Serves Alcohol', 'Takeaway Available', 'Free Parking', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted', 'Fullbar', 'Sodexo', 'Smoking Area']",0,1
Firefly - Parc Estique,18.5615610488,73.9200546965,1000,3,3.2,87,"North Indian, Biryani, Hyderabadi, Mughlai","['Cash', 'Dinner', 'Debit Card', 'Credit Card', 'Takeaway Available', 'Outdoor Seating', 'Table booking recommended', 'Fullbar', 'Air Conditioned', 'Smoking Area', 'Valet Parking Available', 'Beer', 'Wifi', 'Wine', 'Axis Bank - Dining Delights']",43,101
Blinque - Parc Estique,18.5616115847,73.9200298861,2200,4,3.2,36,Finger Food,"['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Credit Card', 'Nightlife', 'Fullbar', 'Air Conditioned', 'Valet Parking Available', 'Outdoor Seating', 'LGBTQIA Friendly', 'Smoking Area']",10,44
Aubergine - Parc Estique,18.5616153987,73.9200429618,1600,3,3.3,129,"North Indian, Chinese, South Indian, Continental, Salad","['Cash', 'Takeaway Available', 'Credit Card', 'Dinner', 'Serves Alcohol', 'Debit Card', 'Lunch', 'Breakfast', 'Smoking Area', 'Valet Parking Available', 'Fullbar', 'Axis Bank - Dining Delights', 'Indoor Seating', 'Buffet', 'Air Conditioned', 'Brunch']",93,191
Rasoi Network,18.5609495316,73.9192597568,400,1,0,2,"Chinese, Biryani","['Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Lunch']",1,1
Hotel Annas,18.5608179471,73.9192728326,800,2,0,0,"North Indian, Chinese, Mughlai, Malwani","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned']",0,0
Anna's Seafood Family Restaurant,18.5608376530,73.9192674682,800,2,2.7,10,"Mughlai, North Indian, Chinese","['Cash', 'Debit Card', 'Delivery', 'Dinner', 'Credit Card', 'Takeaway Available', 'Lunch', 'Indoor Seating', 'Fullbar', 'Outdoor Seating', 'Smoking Area']",5,8
Rasika,18.5608255752,73.9191088825,500,2,3.7,83,"North Indian, Chinese, Maharashtrian","['Cash', 'Dinner', 'Debit Card', 'Takeaway Available', 'Lunch', 'Credit Card', 'Indoor Seating', 'Pure Veg', 'Outdoor Seating']",27,8
Hotel Ramful,18.5608320000,73.9189670000,400,1,0,2,"North Indian, Chinese","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted']",0,0
Surya Restaurant,18.5607833028,73.9189744368,400,1,0,1,"North Indian, South Indian, Chinese","['Lunch', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Dinner', 'Cash', 'Breakfast', 'Free Parking', 'Digital Payments Accepted', 'Indoor Seating', 'Pure Veg']",0,4
Indian Tadka Taste Punjab Da,18.5608590000,73.9187800000,800,2,3.7,2254,"Chinese, North Indian, Kebab, Rolls, Fast Food, Biryani","['Debit Card', 'Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Lunch', 'Delivery', 'Free Parking', 'Indoor Seating', 'Outdoor Seating', 'Digital Payments Accepted']",117,39
Punjabi Tadka,18.5605477853,73.9188309386,300,1,0,0,North Indian,"['Lunch', 'Cash', 'Breakfast', 'Dinner', 'Takeaway Available', 'Free Parking', 'Indoor Seating', 'Digital Payments Accepted']",0,0
Hotel Rubab,18.5604740000,73.9188570000,400,1,0,2,"North Indian, Chinese, Mughlai","['Cash', 'Takeaway Available', 'Delivery']",0,0
Snakshak,18.5604584729,73.9188192040,300,1,3.7,94,"North Indian, Biryani","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",3,2
Shabree Veg Non-Veg Family Restaurant,18.5606968511,73.9187213033,300,1,0,8,"North Indian, Biryani","['Dinner', 'Lunch', 'Takeaway Available', 'Delivery', 'Cash', 'Free Parking', 'Indoor Seating']",3,1
KGN Caterers,18.5602350327,73.9188748598,300,1,0,0,"Biryani, Mughlai","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Free Parking', 'Indoor Seating']",0,0
Royal House,18.5604047582,73.9213183522,500,2,3.8,859,"North Indian, Chinese, Mughlai","['Dinner', 'Takeaway Available', 'Lunch', 'Credit Card', 'Cash', 'Breakfast', 'Delivery', 'Debit Card', 'Indoor Seating', 'Free Parking', 'Digital Payments Accepted']",34,20
Goan Darbar,18.5603825096,73.9187246561,200,1,0,0,"North Indian, Street Food","['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating']",0,0
Hotel Malvani Special,18.5600700746,73.9189435914,650,2,0,1,"Malwani, South Indian","['Dinner', 'Cash', 'Lunch', 'Takeaway Available', 'Indoor Seating', 'Free Parking', 'Digital Payments Accepted']",0,0
Hungry Khopcha,18.5666126561,73.9182566106,700,2,3.9,65,"Italian, Chinese, North Indian, South Indian","['Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Cash', 'Credit Card', 'Debit Card', 'Board Games', 'Indoor Seating', 'Table Reservation Not Required', 'Private Dining Area Available', 'Outdoor Seating', 'Digital Payments Accepted', 'Wifi']",30,57
Saheb,18.5666882988,73.9184396714,400,1,3.9,585,"North Indian, Mughlai, Biryani, Chinese","['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",77,21
Punjabi Chilly,18.5668882114,73.9185238257,500,2,2.9,2129,"North Indian, Chinese, Biryani","['Lunch', 'Cash', 'Credit Card', 'Dinner', 'Delivery', 'Debit Card']",291,95
Natraj Bhel,18.5603542220,73.9213451743,150,1,3.7,1369,Street Food,"['Delivery', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Pure Veg', 'Free Parking', 'Indoor Seating', 'Digital Payments Accepted']",48,25
Hotel Alishan,18.5602788944,73.9212955534,450,1,3.7,568,"Chinese, Maharashtrian","['Cash', 'Credit Card', 'Dinner', 'Delivery', 'Takeaway Available', 'Debit Card', 'Lunch', 'Outdoor Seating', 'Indoor Seating', 'Free Parking', 'Digital Payments Accepted']",8,24
Royal Maratha,18.5601028119,73.9211523905,600,2,3.2,5,"North Indian, Chinese, Maharashtrian","['Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Lunch', 'Delivery', 'Credit Card', 'Indoor Seating', 'Digital Payments Accepted']",2,0
MnM Kitchens,18.5601649000,73.9214635000,250,1,3.7,79,"North Indian, Rolls, Street Food, Beverages","['Cash', 'Takeaway Available', 'No Alcohol Available', 'Lunch', 'Delivery', 'No Seating Available', 'Dinner', 'Desserts and Bakes']",18,3
Shreeji Ice cream,18.5603210000,73.9216540000,150,1,3.5,17,Ice Cream,"['Delivery', 'No Alcohol Available', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Table Reservation Not Required', 'Pure Veg', 'Desserts and Bakes']",7,3
Premacha Chaha,18.5599569240,73.9213924482,100,1,0,0,"Tea, Street Food","['Standing Tables', 'Takeaway Available', 'Cash', 'Digital Payments Accepted']",0,0
Green Gold Veg Restaurant And Juice Bar,18.5599273650,73.9214772731,300,1,0,1,"South Indian, North Indian, Fast Food","['Cash', 'Dinner', 'Takeaway Available', 'Breakfast', 'Lunch', 'Pure Veg', 'Indoor Seating', 'Digital Payments Accepted']",1,0
Dumfook,18.5598844567,73.9215255529,300,1,0,11,Biryani,"['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Free Parking', 'Digital Payments Accepted', 'Outdoor Seating']",2,0
Coffee Jar,18.5695417189,73.9105935395,250,1,4.0,494,Cafe,"['Cash', 'Delivery', 'Credit Card', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area']",127,164
MJM Factory,18.5696186316,73.9104098082,400,1,3.5,63,"Beverages, Juices, Fast Food","['Credit Card', 'Dinner', 'Cash', 'Debit Card', 'Lunch', 'Delivery', 'Board Games', 'Indoor Seating', 'Smoking Area', 'Outdoor Seating', 'Free Wifi', 'Digital Payments Accepted', 'Self Service']",18,55
Bora Chinese,18.5697070000,73.9111500000,500,2,3.5,118,Chinese,"['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Indoor Seating']",21,1
Urban Chaupati,18.5703040000,73.9107220000,400,1,3.5,9,"South Indian, Fast Food, Beverages","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Outdoor Seating', 'Indoor Seating', 'Pure Veg']",5,1
Theka Cafe,18.5690711695,73.9111118027,500,2,3.6,44,"Cafe, Fast Food, Street Food","['Lunch', 'Cash', 'Takeaway Available', 'Breakfast', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted', 'Indoor Seating', 'Air Conditioned']",37,13
Urban Bites,18.5689960000,73.9110640000,300,1,0,5,"Fast Food, North Indian, Rolls","['No Seating Available', 'Dinner', 'Cash', 'Delivery', 'Lunch', 'Takeaway Available']",3,8
Tandoori Flames,18.5692030000,73.9113620000,700,2,3.8,65,"North Indian, Chinese, Mughlai","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Indoor Seating', 'Table booking recommended', 'Rooftop', 'Digital Payments Accepted']",35,34
Verde & Co,18.5692030000,73.9113990000,500,2,3.9,276,"Cafe, Italian, Fast Food, Beverages, Sandwich, Burger, Coffee, Chinese","['Dinner', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Lunch', 'Delivery', 'Breakfast', 'Board Games', 'Indoor Seating', 'Digital Payments Accepted', 'Smoking Area', 'Outdoor Seating', 'Table booking recommended', 'Air Conditioned', 'Pet Friendly', 'Vegan Options', 'Desserts and Bakes']",124,247
Bhojaan,18.5683022000,73.9103098000,250,1,0,0,"North Indian, Mithai, Street Food","['No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Breakfast']",0,6
Food Truck Zone,18.5680890000,73.9103420000,100,1,0,0,South Indian,"['Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",0,0
Yummy Tummy,18.5682040054,73.9099286869,150,1,0,1,Fast Food,"['Dinner', 'Standing Tables', 'Takeaway Available', 'Lunch', 'Cash', 'Breakfast', 'Outdoor Seating', 'Digital Payments Accepted']",1,0
Spicy Biryani & Rolls,18.5680619383,73.9108657836,400,1,3.5,232,"Rolls, Biryani","['Lunch', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Digital Payments Accepted']",31,5
GoKeto,18.5690374000,73.9122459000,500,2,4.1,104,Healthy Food,"['Lunch', 'Delivery', 'Dinner', 'Cash', 'Digital Payments Accepted']",21,2
Shah Chinese Corner,18.5679882032,73.9106508717,400,1,3.6,153,Chinese,"['Dinner', 'Cash', 'Lunch', 'Delivery', 'Indoor Seating']",3,4
The Wheel Barrow,18.5681760000,73.9098150000,350,1,3.8,85,BBQ,"['Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Digital Payments Accepted']",37,21
Taste Of Punjab,18.5612568797,73.9178482443,1500,3,4.2,366,"North Indian, Mughlai","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Valet Parking Available', 'Outdoor Seating', 'Air Conditioned', 'Buffet', 'DJ', 'Live Entertainment', 'Sports TV', 'Fullbar', 'Live Music', 'Kid Friendly', 'Dance Floor']",230,387
Rude Lounge,18.5612568797,73.9178482443,1600,3,4.3,1366,"North Indian, Chinese, Fast Food, Bar Food","['Lunch', 'Serves Alcohol', 'Cash', 'Delivery', 'Credit Card', 'Dinner', 'Takeaway Available', 'Debit Card', 'Nightlife', 'Valet Parking Available', 'Outdoor Seating', 'Beer', 'Live Music', 'Serves Cocktails', 'Table booking for Groups', 'Table Reservation Not Required', 'Group Meal', 'Dance Floor', 'Live Entertainment', 'Sports TV', 'Fullbar', 'Wine', 'Sodexo', 'Rooftop', 'Couple Entry Only', 'Above 18 Only', 'Air Conditioned', 'LGBTQIA Friendly', 'Smoking Area', 'DJ', 'Free Parking', 'Live Sports Screening']",667,583
Chai Shai,18.5647568578,73.9109606668,250,1,4.0,10406,"Street Food, Tea, Beverages","['No Alcohol Available', 'Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Credit Card', 'Debit Card', 'Outdoor Seating', 'Air Conditioned', 'Smoking Area', 'Pure Veg', 'Indoor Seating', 'Digital Payments Accepted', 'Wifi']",253,165
Yogi's Food,18.5647005400,73.9109866700,250,1,3.7,218,Fast Food,"['No Seating Available', 'Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery']",3,0
Dark Knight,18.5649910982,73.9116577059,500,2,4.0,349,"Fast Food, Chinese","['Cash', 'Delivery', 'Dinner']",109,14
Maharani Veg & Nonveg,18.5652455000,73.9118465000,350,1,3.2,5,"North Indian, Chinese, South Indian","['Takeaway Available', 'Dinner', 'Cash', 'Lunch', 'Indoor Seating']",1,2
Classic Rock Cafe & Comedy,18.5489386870,73.9063422382,2000,4,4.2,3284,"Bar Food, Continental, Italian, Asian, North Indian","['Lunch', 'Cash', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'DJ', 'Karaoke', 'Nightlife', 'Fullbar', 'Live Music', 'Free Wifi', 'Air Conditioned', 'Serves Cocktails', 'Digital Payments Accepted', 'Brunch', 'Board Games', 'Live Sports Screening', 'Valet Parking Available', 'Outdoor Seating', 'Indoor Seating', 'Table booking recommended', 'LGBTQIA Friendly', 'Smoking Area', 'Buffet', 'Wine', 'Beer', 'Desserts and Bakes']",2012,1386
China Toss,18.5487991467,73.9060723409,1100,3,4.3,6399,"Asian, Chinese, Malwani, North Indian","['Delivery', 'Cash', 'Dinner', 'Lunch', 'Takeaway Available', 'Debit Card', 'Credit Card', 'Air Conditioned', 'Digital Payments Accepted', 'Valet Parking Available', 'Smoking Area', 'Outdoor Seating', 'Fullbar', 'Buffet', 'Indoor Seating', 'Wifi']",1319,826
The Big Fat Pizzeria,18.5484803333,73.9060123265,700,2,3.9,13,Pizza,"['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery']",10,1
"Ales, Brews and Ciders Brewing Company",18.5494310503,73.9065568149,1100,3,4.2,577,"North Indian, Continental, Asian, Mughlai, Italian","['Dinner', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Fullbar', 'Indoor Seating', 'LGBTQIA Friendly', 'Smoking Area', 'Group Meal', 'Free Parking', 'Live Sports Screening', 'Nightlife', 'Outdoor Seating', 'Air Conditioned', 'Live Entertainment']",323,518
Bollywood Brewing Company,18.5494323218,73.9065879956,1200,3,2.8,41,"North Indian, Continental, Italian, American, Chinese","['Dinner', 'Cash', 'Debit Card', 'Credit Card', 'Free Parking', 'Live Music', 'Air Conditioned', 'Wifi', 'Fullbar', 'Indoor Seating', 'Digital Payments Accepted', 'Table Reservation Not Required', 'Smoking Area']",33,56
Bubsterr's,18.5483042386,73.9060642943,550,2,4.0,6883,Fast Food,"['Dinner', 'Cash', 'Delivery', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Air Conditioned', 'Wifi']",563,859
Arctic,18.5487276283,73.9054611325,950,2,4.0,1214,"North Indian, Continental, Seafood","['No Alcohol Available', 'Dinner', 'Delivery', 'Credit Card', 'Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Outdoor Seating', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted', 'Buffet']",269,338
Kawre Ice Cream,18.5479755706,73.9060736820,150,1,0,4,"Ice Cream, Beverages","['Cash', 'No Alcohol Available', 'Debit Card', 'Takeaway Available', 'Delivery', 'No Seating Available', 'Credit Card', 'Desserts and Bakes', 'Pure Veg', 'Digital Payments Accepted']",2,21
The Bounty Sizzlers,18.5487842100,73.9053340600,1000,3,0,0,"Chinese, Continental, Seafood","['Credit Card', 'Dinner', 'Delivery', 'Serves Alcohol', 'Takeaway Available', 'Lunch', 'Beer', 'Halal', 'Air Conditioned', 'Indoor Seating', 'Wine']",24,726
Southin Cafe,18.5479256664,73.9059962332,150,1,3.9,38,"Street Food, North Indian","['Lunch', 'Cash', 'Takeaway Available', 'Standing Tables', 'Delivery', 'Breakfast', 'Digital Payments Accepted']",16,4
Alfa Southin Cafeteria,18.5477908932,73.9059999213,300,1,3.9,222,"Fast Food, North Indian, Maharashtrian","['Lunch', 'Delivery', 'Breakfast', 'Dinner', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating', 'Digital Payments Accepted', 'Rooftop']",29,13
DELIGO,18.5479228056,73.9056324586,700,2,3.8,218,"North Indian, Chinese","['Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Free Parking', 'Indoor Seating', 'Outdoor Seating', 'Digital Payments Accepted']",67,20
The Chow Express,18.5474873352,73.9060887694,400,1,3.9,36,Chinese,"['No Seating Available', 'Delivery', 'Dinner', 'Cash', 'Takeaway Available', 'Digital Payments Accepted']",15,0
Playoffs Sport Lounge,18.5607836207,73.9183280244,1500,3,3.7,126,"North Indian, Chinese, Continental","['Dinner', 'Cash', 'Delivery', 'Credit Card', 'Serves Alcohol', 'Takeaway Available', 'Debit Card', 'Live Sports Screening', 'Fullbar', 'Table booking recommended', 'Air Conditioned', 'Nightlife', 'Indoor Seating', 'Digital Payments Accepted', 'Resto Bar', 'Smoking Area']",92,298
Burrraah and Sns,18.5607780000,73.9183640000,400,1,3.4,12,North Indian,"['Dinner', 'Delivery', 'Breakfast', 'Lunch', 'Cash', 'Takeaway Available', 'Indoor Seating']",9,26
La Desi Boho,18.5607162392,73.9184088260,350,1,2.8,71,"Fast Food, North Indian","['Debit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery', 'Credit Card']",1,3
Big Burger Factory,18.5606568036,73.9183256775,500,2,2.9,87,"Cafe, Burger","['Dinner', 'Takeaway Available', 'Lunch', 'Credit Card', 'Cash', 'Debit Card', 'Delivery', 'Air Conditioned', 'Indoor Seating', 'Digital Payments Accepted']",14,8
Sahara,18.5605973679,73.9183991030,900,2,3.4,59,"North Indian, Chinese","['Lunch', 'Cash', 'Delivery', 'Credit Card', 'Debit Card', 'Dinner', 'Takeaway Available', 'Sodexo', 'Digital Payments Accepted', 'Live Entertainment', 'Fullbar', 'Outdoor Seating', 'Indoor Seating', 'Air Conditioned', 'Smoking Area', 'Buffet', 'Live Sports Screening']",43,69
Hotel Fish Land,18.5583800000,73.9113490000,800,2,3.7,929,"North Indian, Chinese","['Lunch', 'Delivery', 'Dinner', 'Cash', 'Digital Payments Accepted']",48,31
Hotel Malabar,18.5583800000,73.9113490000,500,2,3.8,97,"North Indian, Chinese, Mughlai, Fast Food","['No Seating Available', 'Dinner', 'Delivery', 'Lunch', 'Cash', 'Takeaway Available']",18,1
Hotel Shivar,18.5583800000,73.9113490000,500,2,3.5,138,"North Indian, Maharashtrian","['Dinner', 'Cash', 'Takeaway Available', 'Lunch', 'Delivery', 'Indoor Seating', 'Digital Payments Accepted']",21,1
Hotel Pakizaa,18.5583800000,73.9113490000,500,2,2.7,17,"North Indian, Chinese, Mughlai","['Lunch', 'Cash', 'Dinner', 'Delivery']",10,0
Balle Balle,18.5583800000,73.9113490000,500,2,3.9,12,Chinese,"['Cash', 'Delivery']",10,4
Hotel Lijjat,18.5583800000,73.9113490000,500,2,3.9,61,"North Indian, Chinese, South Indian, Beverages","['Lunch', 'Cash', 'Takeaway Available', 'Dinner', 'Delivery']",19,2
Hotel Al Madeena,18.5583800000,73.9113490000,500,2,3.4,132,"North Indian, Chinese, Maharashtrian","['Dinner', 'Delivery', 'Credit Card', 'Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Indoor Seating']",27,2
Al-Hifazat Kabab's & Caterers,18.5583556447,73.9113717154,400,1,3.5,5426,"North Indian, Mughlai, Chinese","['Dinner', 'Takeaway Available', 'Delivery', 'Cash', 'Lunch', 'Smoking Area', 'Indoor Seating', 'Outdoor Seating']",218,129
Roll King,18.5583527600,73.9113600000,500,2,2.6,84,Rolls,"['Lunch', 'Cash', 'Dinner', 'Delivery']",21,2
Al Zaika Snacks Centre,18.5583486522,73.9113277942,400,1,3.0,33,North Indian,"['Cash', 'Delivery', 'Lunch', 'Takeaway Available', 'Dinner', 'Indoor Seating']",11,5
Amritsari Junction,18.5676230000,73.9190120000,400,1,3.1,33,"North Indian, Chinese","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card']",3,8
Tikka And Curries,18.5676230000,73.9190120000,400,1,2.7,66,"North Indian, Chinese","['Lunch', 'Cash', 'Takeaway Available', 'Debit Card', 'Dinner', 'Delivery', 'Credit Card']",3,6
Rasoi Segdi,18.5676817000,73.9190381000,450,1,3.8,275,"North Indian, Chinese","['Cash', 'Breakfast', 'Credit Card', 'Lunch', 'Delivery', 'Debit Card', 'Dinner', 'Takeaway Available', 'Outdoor Seating', 'Indoor Seating', 'Digital Payments Accepted']",29,10
Rehman Chinese,18.5676910000,73.9188250000,250,1,3.4,6,"Chinese, Biryani","['Dinner', 'Cash', 'Credit Card', 'Lunch', 'Takeaway Available', 'Debit Card', 'Outdoor Seating', 'Digital Payments Accepted']",2,2
B'Creamy,18.5656040000,73.9152210000,400,1,0,0,"Ice Cream, Desserts, Beverages","['Delivery', 'Cash', 'Takeaway Available', 'Indoor Seating', 'Air Conditioned', 'Desserts and Bakes', 'Digital Payments Accepted']",0,2
Khalsa Dairy,18.5651344392,73.9151157439,250,1,4.1,233,"Mithai, Street Food","['No Alcohol Available', 'Takeaway Available', 'Credit Card', 'No Seating Available', 'Cash', 'Debit Card', 'Desserts and Bakes', 'Pure Veg']",106,88
Natraj Bhel & Chat House,18.5657376778,73.9153303206,200,1,4.0,3632,Street Food,"['Delivery', 'Lunch', 'Takeaway Available', 'Dinner', 'Cash', 'Pure Veg', 'Outdoor Seating', 'Indoor Seating']",113,50
